source,title,link,published,sent_compound,sent_label
BBC,Girl power is back - and could cost you up to £10K for Spice Girls coin,https://www.bbc.com/news/articles/c04312q7x4wo?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,"'I make between £800 and £2,000 a month on zero-hours contracts. There's no consistency'",https://www.bbc.com/news/articles/c20lz7rkqv4o?at_medium=RSS&at_campaign=rss,,-0.296,negative
BBC,Watch: How the US-Israel war with Iran is jeopardising shipping,https://www.bbc.com/news/videos/cvgjnv2y90wo?at_medium=RSS&at_campaign=rss,,-0.5994,negative
BBC,Gas and oil prices soar and shares tumble on fears conflict could escalate,https://www.bbc.com/news/articles/cr5lz0vgy52o?at_medium=RSS&at_campaign=rss,,-0.4404,negative
BBC,"Too early to tell scope of Iran strikes, Trump tells Congress",https://www.bbc.com/news/articles/cx2gprk53pno?at_medium=RSS&at_campaign=rss,,-0.3612,negative
BBC,"Battered and isolated, Hezbollah drags Lebanon into another war",https://www.bbc.com/news/articles/c4gq3ykg7pvo?at_medium=RSS&at_campaign=rss,,-0.7845,negative
BBC,Why did US and Israel attack Iran and how long could the war last?,https://www.bbc.com/news/articles/cx2dyz6p3weo?at_medium=RSS&at_campaign=rss,,-0.7906,negative
BBC,Ant and Dec take legal action over 'secret profits' in Banksy deals,https://www.bbc.com/news/articles/cgjzwexg10vo?at_medium=RSS&at_campaign=rss,,0.5267,positive
BBC,Guilty verdict for US father of teenage school shooter,https://www.bbc.com/news/articles/cpv87wwmd0lo?at_medium=RSS&at_campaign=rss,,-0.296,negative
BBC,Former Daily Mail showbusiness editor denies hacking Sadie Frost's voicemails,https://www.bbc.com/news/articles/c5yvx5xpze5o?at_medium=RSS&at_campaign=rss,,-0.4215,negative
BBC,OpenAI changes deal with US military after backlash,https://www.bbc.com/news/articles/c3rz1nd0egro?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,Staff treating rabies victim 'suspected Lyme disease',https://www.bbc.com/news/articles/cx24g7j34xko?at_medium=RSS&at_campaign=rss,,-0.4588,negative
BBC,New by-law to stop people roaming at first Scottish Center Parcs,https://www.bbc.com/news/articles/czx43r561w9o?at_medium=RSS&at_campaign=rss,,-0.296,negative
BBC,Actor settles claim against theatre in Kevin Spacey assault case,https://www.bbc.com/news/articles/c78jegj9r91o?at_medium=RSS&at_campaign=rss,,-0.5859,negative
BBC,BBC News app,https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,Trump 'Not Happy' With Starmer Over Iran,https://www.bbc.co.uk/sounds/play/p0n4fhpt?at_medium=RSS&at_campaign=rss,,-0.4585,negative
BBC,Global News Podcast: Trump warns of more US deaths in Iran war,https://www.bbc.co.uk/sounds/play/p0n42r1x?at_medium=RSS&at_campaign=rss,,-0.6486,negative
BBC,Lionesses deliver Wiegman's 'clear win' to make World Cup statement,https://www.bbc.com/sport/football/articles/c98qp2lzj13o?at_medium=RSS&at_campaign=rss,,0.7506,positive
BBC,Haaland? Kane? R9? Ranking the best centre-forwards this century,https://www.bbc.com/sport/football/articles/c0q4kjek529o?at_medium=RSS&at_campaign=rss,,0.6946,positive
BBC,'Fin stole my fly-half spot!' – Atkinson on England's new 10-12 combo,https://www.bbc.com/sport/rugby-union/articles/c93w1z75469o?at_medium=RSS&at_campaign=rss,,0.0,neutral
BBC,Is it time to trust South Africa as World Cup 'favourites'?,https://www.bbc.com/sport/cricket/articles/cdxg4w95p65o?at_medium=RSS&at_campaign=rss,,0.5106,positive
The Verge,The best AirPods deals you can get right now,https://www.theverge.com/21302051/best-apple-airpods-deals,2026-03-03 21:00:00+00:00,0.6369,positive
The Verge,Another Oracle outage is messing up US TikTok,https://www.theverge.com/tech/888647/tiktok-us-oracle-outage-march-2026,2026-03-03 20:26:21+00:00,0.0,neutral
The Verge,Highguard is shutting down this month,https://www.theverge.com/games/880206/highguard-shut-down,2026-03-03 20:16:03+00:00,0.0,neutral
The Verge,Shark’s latest robot vacuum hunts stains with UV light,https://www.theverge.com/tech/888179/shark-powerdetect-uv-reveal-robot-vacuum-review,2026-03-03 20:07:38+00:00,0.0,neutral
The Verge,Android’s Find Hub adds iPhone-like luggage tracking links,https://www.theverge.com/tech/888200/google-android-find-hub-luggage-tracking,2026-03-03 19:00:00+00:00,0.0,neutral
The Verge,Google’s latest Pixel drop allows Gemini to order groceries for you and more,https://www.theverge.com/tech/888295/google-gemini-pixel-drop-march-2026,2026-03-03 19:00:00+00:00,-0.2732,negative
The Verge,Google brings Android’s desktop mode to Pixel devices,https://www.theverge.com/tech/888370/google-pixel-tablet-android-desktop-mode,2026-03-03 19:00:00+00:00,0.0,neutral
The Verge,The Pixel Watch now lets you tap to pay without opening the Wallet app,https://www.theverge.com/tech/888509/google-pixel-watch-update-express-pay,2026-03-03 19:00:00+00:00,-0.1027,negative
The Verge,Yahoo is selling Engadget to Static Media,https://www.theverge.com/tech/888364/yahoo-engadget-sale-static-media,2026-03-03 18:42:31+00:00,0.0,neutral
The Verge,Phone makers of all sizes are feeling the RAM crunch,https://www.theverge.com/tech/888354/smartphone-manufacturer-ram-xiaomi-light-tcl,2026-03-03 18:29:43+00:00,0.128,positive
Hacker News,Intel's make-or-break 18A process node debuts for data center with 288-core Xeon,https://www.tomshardware.com/pc-components/cpus/intels-make-or-break-18a-process-node-debuts-for-data-center-with-288-core-xeon-6-cpu-multi-chip-monster-sports-12-channels-of-ddr5-8000-foveros-direct-3d-packaging-tech,2026-03-03 18:54:06+00:00,0.0,neutral
Hacker News,I'm reluctant to verify my identity or age for any online services,https://neilzone.co.uk/2026/03/im-struggling-to-think-of-any-online-services-for-which-id-be-willing-to-verify-my-identity-or-age/,2026-03-03 14:22:25+00:00,-0.25,negative
Hacker News,GPT‑5.3 Instant,https://openai.com/index/gpt-5-3-instant/,2026-03-03 17:57:33+00:00,0.0,neutral
Hacker News,MacBook Pro with new M5 Pro and M5 Max,https://www.apple.com/newsroom/2026/03/apple-introduces-macbook-pro-with-all-new-m5-pro-and-m5-max/,2026-03-03 14:02:06+00:00,0.0,neutral
Hacker News,Physics Girl: Super-Kamiokande – Imaging the sun by detecting neutrinos [video],https://www.youtube.com/watch?v=B3m3AMRlYfc,2026-03-03 14:42:30+00:00,0.0,neutral
Hacker News,GitHub Is Having Issues,https://www.githubstatus.com/incidents/n07yy1bk6kc4,2026-03-03 19:02:14+00:00,0.0,neutral
Hacker News,MacBook Air with M5,https://www.apple.com/newsroom/2026/03/apple-introduces-the-new-macbook-air-with-m5/,2026-03-03 14:04:56+00:00,0.0,neutral
Hacker News,An Interactive Intro to CRDTs,https://jakelazaroff.com/words/an-interactive-intro-to-crdts/,2026-03-03 19:22:32+00:00,0.0,neutral
Hacker News,Why payment fees matter more than you think,https://cuencahighlife.com/why-payment-fees-matter-more-than-you-think/,2026-03-03 18:27:26+00:00,0.0258,neutral
Hacker News,Don't become an engineering manager,https://newsletter.manager.dev/p/dont-become-an-engineering-manager,2026-03-03 14:19:14+00:00,0.0,neutral
